collective,world_size,lnc,nki_lnc,size_bytes,framework_us,nki_us,framework_tput_GBps,nki_tput_GBps,framework_busbw_GBps,nki_busbw_GBps,speedup,source_log
reduce_scatter,8,1,1,16384,615.0,107.3,0.027,0.153,0.023,0.134,5.73,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,32768,626.2,97.1,0.052,0.337,0.046,0.295,6.45,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,65536,629.6,105.4,0.104,0.622,0.091,0.544,5.97,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,131072,582.7,102.6,0.225,1.278,0.197,1.118,5.68,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,262144,628.3,98.1,0.417,2.673,0.365,2.339,6.41,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,524288,624.0,99.6,0.84,5.266,0.735,4.608,6.27,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,1048576,605.3,110.5,1.732,9.493,1.516,8.306,5.48,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,2097152,622.5,110.6,3.369,18.957,2.948,16.587,5.63,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,4194304,627.7,124.5,6.682,33.684,5.847,29.474,5.04,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,8388608,641.4,174.3,13.079,48.138,11.444,42.121,3.68,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,16777216,652.6,290.0,25.707,57.852,22.494,50.621,2.25,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
reduce_scatter,8,1,1,33554432,857.7,534.6,39.124,62.767,34.233,54.921,1.6,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_742.out
all_to_all,8,1,1,512,1241.7,97.8,0.0,0.005,0.0,0.005,12.7,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,1024,1395.1,103.2,0.001,0.01,0.001,0.009,13.51,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,2048,1162.5,107.3,0.002,0.019,0.002,0.017,10.84,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,4096,1135.8,101.9,0.004,0.04,0.003,0.035,11.14,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
